id,name,phone,project,income,commitments,dsrRatio,tier,maxLoanAmount
"LEAD-10001","Ahmad Kumar #1","+60130000002","Subang Parksuites",3537,1019,33.1,"Tier 3: Joint Loan Needed",165463
"LEAD-10004","Tan Faizal #4","+60160000005","Mont Kiara Pavilion",3648,1076,33.9,"Tier 3: Joint Loan Needed",165651
"LEAD-10007","Farhan Hassan #7","+60190000008","Subang Parksuites",3759,1133,34.6,"Tier 3: Joint Loan Needed",165840
"LEAD-10010","Jason Subramaniam #10","+60140000011","Mont Kiara Pavilion",3870,1190,35.3,"Tier 3: Joint Loan Needed",166028
"LEAD-10013","Amir Goh #13","+60170000014","Subang Parksuites",3981,1247,36,"Tier 3: Joint Loan Needed",166216
"LEAD-10016","Devi Hariz #16","+60120000017","Mont Kiara Pavilion",4092,1304,36.6,"Tier 3: Joint Loan Needed",166405
"LEAD-10019","Grace Wei Lun #19","+60150000020","Subang Parksuites",4203,1361,37.2,"Tier 3: Joint Loan Needed",166593
"LEAD-10022","Nurul Ibrahim #22","+60180000023","Mont Kiara Pavilion",4314,1418,37.8,"Tier 3: Joint Loan Needed",166782
"LEAD-10025","Santhi Chen #25","+60130000026","Subang Parksuites",4425,1475,38.3,"Tier 3: Joint Loan Needed",166970
"LEAD-10028","Sarah Nordin #28","+60160000029","Mont Kiara Pavilion",4536,1532,38.8,"Tier 2: Qualified Bank Loan",167158
"LEAD-10031","Siti Osman #31","+60190000032","Subang Parksuites",4647,1589,39.3,"Tier 2: Qualified Bank Loan",167347
"LEAD-10034","Syed Aini #34","+60140000035","Mont Kiara Pavilion",4758,1646,39.8,"Tier 2: Qualified Bank Loan",167535
"LEAD-10037","Azman Razif #37","+60170000038","Subang Parksuites",4869,1703,40.2,"Tier 2: Qualified Bank Loan",167724
"LEAD-10040","Muhammad Lee #40","+60120000041","Mont Kiara Pavilion",4980,1760,40.6,"Tier 2: Qualified Bank Loan",167912
"LEAD-10043","Wong Zulkifli #43","+60150000044","Subang Parksuites",5091,1817,41,"Tier 2: Qualified Bank Loan",168100
"LEAD-10046","Mohd Rosli #46","+60180000047","Mont Kiara Pavilion",5202,1874,41.4,"Tier 2: Qualified Bank Loan",168289
"LEAD-10049","Kevin Kumar #49","+60130000050","Subang Parksuites",5313,1931,41.8,"Tier 2: Qualified Bank Loan",168477
"LEAD-10052","Razif Faizal #52","+60160000053","Mont Kiara Pavilion",5424,1988,42.1,"Tier 2: Qualified Bank Loan",168666
"LEAD-10055","Chong Hassan #55","+60190000056","Subang Parksuites",5535,2045,42.5,"Tier 2: Qualified Bank Loan",168854
"LEAD-10058","Hafiz Subramaniam #58","+60140000059","Mont Kiara Pavilion",5646,2102,42.8,"Tier 2: Qualified Bank Loan",169042
"LEAD-10061","Ahmad Goh #61","+60170000062","Subang Parksuites",5757,2159,43.1,"Tier 2: Qualified Bank Loan",169231
"LEAD-10064","Tan Hariz #64","+60120000065","Mont Kiara Pavilion",5868,2216,43.4,"Tier 2: Qualified Bank Loan",169419
"LEAD-10067","Farhan Wei Lun #67","+60150000068","Subang Parksuites",5979,2273,43.7,"Tier 2: Qualified Bank Loan",169608
"LEAD-10070","Jason Ibrahim #70","+60180000071","Mont Kiara Pavilion",6090,2330,44,"Tier 2: Qualified Bank Loan",169796
"LEAD-10073","Amir Chen #73","+60130000074","Subang Parksuites",6201,2387,44.2,"Tier 2: Qualified Bank Loan",169984
"LEAD-10076","Devi Nordin #76","+60160000077","Mont Kiara Pavilion",6312,2444,44.5,"Tier 2: Qualified Bank Loan",170173
"LEAD-10079","Grace Osman #79","+60190000080","Subang Parksuites",6423,2501,44.8,"Tier 2: Qualified Bank Loan",170361
"LEAD-10082","Nurul Aini #82","+60140000083","Mont Kiara Pavilion",6534,2558,45,"Tier 1: Pre-Approved LPPSA/Bank",170550
"LEAD-10085","Santhi Razif #85","+60170000086","Subang Parksuites",6645,2615,45.2,"Tier 2: Qualified Bank Loan",170738
"LEAD-10088","Sarah Lee #88","+60120000089","Mont Kiara Pavilion",6756,2672,45.5,"Tier 2: Qualified Bank Loan",170926
"LEAD-10091","Siti Zulkifli #91","+60150000092","Subang Parksuites",6867,2729,45.7,"Tier 2: Qualified Bank Loan",171115
"LEAD-10094","Syed Rosli #94","+60180000095","Mont Kiara Pavilion",6978,2786,45.9,"Tier 2: Qualified Bank Loan",171303
"LEAD-10097","Azman Kumar #97","+60130000098","Subang Parksuites",7089,2843,46.1,"Tier 2: Qualified Bank Loan",171492
"LEAD-10100","Muhammad Faizal #100","+60160000101","Mont Kiara Pavilion",7200,2900,46.3,"Tier 2: Qualified Bank Loan",171680
"LEAD-10103","Wong Hassan #103","+60190000104","Subang Parksuites",7311,2957,46.5,"Tier 2: Qualified Bank Loan",171868
"LEAD-10106","Mohd Subramaniam #106","+60140000107","Mont Kiara Pavilion",7422,3014,46.7,"Tier 2: Qualified Bank Loan",172057
