name,phone,project,income,tier
"Wong Hariz","+60165108603","Subang Parksuites",5643,"Hot"
"Azman Aini","+60181533224","SkyResidence Subang",5267,"Warm"
"Farhan Hariz","+60158038374","Subang Parksuites",8179,"Hot"
"Sarah Hariz","+60148090293","Shah Alam Vista",6776,"Warm"
"Mohd Subramaniam","+60132556017","Damansara Heights Residence",5292,"New"
"Siti Lee","+60128707870","Mont Kiara Pavilion",5522,"New"
"Nurul Chen","+60174226067","Bangsar South Suites",5069,"Hot"
"Farhan Chen","+60134905582","SkyResidence Subang",7613,"New"
"Syed Zulkifli","+60147210606","Shah Alam Vista",6216,"New"
"Nurul Razif","+60153741438","Damansara Heights Residence",7608,"New"
"Azman Hassan","+60171938483","Subang Parksuites",11232,"Hot"
"Jason Nordin","+60162110460","Subang Parksuites",11980,"Hot"
"Jason Ibrahim","+60197637601","Bangsar South Suites",8258,"Warm"
"Sarah Faizal","+60155408072","Bangsar South Suites",9288,"New"
"Hafiz Nordin","+60174679591","Subang Parksuites",8674,"New"
"Nurul Kumar","+60133564251","Bangsar South Suites",5810,"New"
"Grace Aini","+60187402509","Mont Kiara Pavilion",8334,"Hot"
"Sarah Hariz","+60135476583","Bangsar South Suites",7286,"Hot"
"Kevin Goh","+60148612220","SkyResidence Subang",10415,"New"
"Devi Razif","+60136007072","Bangsar South Suites",8658,"Hot"
"Mohd Faizal","+60173710343","Mont Kiara Pavilion",10878,"Hot"
"Muhammad Subramaniam","+60191326765","SkyResidence Subang",7473,"New"
"Farhan Kumar","+60152321324","SkyResidence Subang",10495,"New"
"Nurul Faizal","+60148973915","Mont Kiara Pavilion",5852,"New"
"Devi Goh","+60154374754","Bangsar South Suites",7053,"New"
"Siti Rosli","+60193030113","Subang Parksuites",6340,"Hot"
"Jason Hariz","+60154694634","SkyResidence Subang",5081,"Hot"
"Farhan Aini","+60126543670","SkyResidence Subang",8711,"Warm"
"Sarah Osman","+60153219824","Bangsar South Suites",11728,"Hot"
"Hafiz Osman","+60158935169","Damansara Heights Residence",6059,"Hot"
"Wong Goh","+60178106470","Damansara Heights Residence",8325,"Hot"
"Wong Kumar","+60186692553","SkyResidence Subang",6536,"Warm"
"Mohd Rosli","+60148077999","Subang Parksuites",6781,"New"
"Farhan Aini","+60192642635","SkyResidence Subang",9842,"Hot"
"Muhammad Aini","+60153790237","Damansara Heights Residence",8478,"New"
"Mohd Nordin","+60123762152","Damansara Heights Residence",4517,"New"
"Sarah Rosli","+60168096887","Bangsar South Suites",10484,"Hot"
"Chong Faizal","+60155977931","Subang Parksuites",4979,"Hot"
"Azman Kumar","+60171959074","SkyResidence Subang",9285,"New"
"Devi Razif","+60129519948","SkyResidence Subang",11474,"Warm"
"Nurul Aini","+60157774229","SkyResidence Subang",11793,"Hot"
"Farhan Kumar","+60138033426","Bangsar South Suites",9281,"Hot"
"Devi Subramaniam","+60164426900","Bangsar South Suites",10367,"New"
"Farhan Lee","+60183195773","Bangsar South Suites",9787,"New"
"Syed Subramaniam","+60131156287","Damansara Heights Residence",9588,"Hot"
"Wong Aini","+60159487336","Shah Alam Vista",5585,"New"
"Nurul Hassan","+60175781295","Subang Parksuites",8089,"Hot"
"Kevin Hariz","+60162737893","Subang Parksuites",6666,"Hot"
"Wong Faizal","+60165727085","Mont Kiara Pavilion",6225,"New"
"Mohd Lee","+60195213115","SkyResidence Subang",5256,"New"
"Sarah Kumar","+60126596150","Subang Parksuites",9719,"New"
"Santhi Rosli","+60181162230","SkyResidence Subang",5116,"Warm"
"Azman Kumar","+60173484601","Damansara Heights Residence",5544,"Hot"
"Kevin Zulkifli","+60127003042","Subang Parksuites",10087,"Warm"
